Starting node index,Starting node osmid,Ending node index,Ending node osmid,Travel cost from the starting node to the ending node
5833,32641643,5834,2141788625,0.000211659
5833,32641643,5933,301153432,0.00053116
5842,317344879,5843,247701900,0.000623069
5901,2117989842,5902,2117989841,0.000598556
5937,32641644,6037,247701195,0.00027331
5968,25643643,6068,315111279,0.000448836
5991,291633262,5992,259666567,0.000178003
6007,247330889,6107,293809007,0.000355907
6034,301153287,6134,301153289,0.000677666
6037,247701195,6137,301153339,0.000371836
6065,296377272,6066,2073646453,0.000825657
6101,294022372,6102,309681920,0.000366297
6102,309681920,6202,83661864,0.000453286
6107,293809007,6207,293809447,0.000417549
6116,293806361,6117,261954949,0.000348221
6190,291634555,6191,291635037,0.00059305
6193,291634554,6194,1372594196,0.000329244
6193,291634554,6293,291631932,0.000427435
6210,293809927,6211,2139719744,0.000746641
6211,2139719744,6311,2139719827,0.000369181
6255,1090520078,6355,415346509,0.000205445
6292,291634662,6293,291631932,0.000237768
6305,261962079,6405,1759785794,0.00049727
6355,415346509,6356,1227925181,0.000594484
6355,415346509,6455,122568740,0.00050744
6367,2073646456,6467,25643645,0.000431857
6390,1374588385,6490,291632875,7.49E-05
6397,2093396312,6398,2179073954,0.000546563
6397,2093396312,6497,294042378,0.000368776
6398,2179073954,6399,2179073953,0.000164986
6398,2179073954,6498,294042382,0.000169042
6452,292467002,6552,292466504,0.000234345
6454,255680738,6455,122568740,0.000590194
6464,276549264,6465,257908485,0.000310401
6465,257908485,6466,315109963,0.000547812
6466,315109963,6467,25643645,0.000260975
6466,315109963,6566,257906450,0.000386014
6467,25643645,6567,257906451,0.000291511
6497,294042378,6498,294042382,0.000704943
6497,294042378,6597,259666866,0.000173519
6566,257906450,6567,257906451,0.00038712
6654,292466461,6754,292466460,0.00064095
6674,296362040,6774,257908491,0.000314324
6681,270200520,6682,291633635,0.000669597
6681,270200520,6781,248530975,0.000288001
6682,291633635,6782,291633631,0.000387599
6698,259666865,6798,291629378,0.000324737
6729,259320674,6730,247701865,8.15E-05
6733,32641648,6833,247701572,0.000266489
6748,255680566,6749,292467154,0.000568825
6761,315113273,6861,1227744620,0.000430254
6773,302132064,6774,257908491,0.000312636
6774,257908491,6775,270200521,0.000487722
6774,257908491,6874,10059731758,0.000308315
6781,248530975,6782,291633631,0.000415318
6796,291629191,6896,2437621181,0.000317845
6803,261960930,6804,309308376,0.000618289
6832,315141718,6833,247701572,0.000477159
6832,315141718,6932,315143621,0.000251414
6833,247701572,6834,1333306720,0.000454657
6833,247701572,6933,247701759,0.000495774
6834,1333306720,6835,309309912,0.000612781
