u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
5357020266,81796208,0,9963624,False,,secondary,14.949,,,,West McKinney Street,,"LINESTRING (-97.1349549 33.2169891, -97.134813 33.216926)"
5357020266,81796206,0,9963624,False,,secondary,18.451,,,,West McKinney Street,,"LINESTRING (-97.1349549 33.2169891, -97.13515 33.217019)"
5357020267,81896439,0,555208679,True,2,primary,10.888,US 77;US 377,,yes,North Locust Street,,"LINESTRING (-97.1323276 33.2206032, -97.1323251 33.2207011)"
5357020268,7050872424,0,521609565,True,2,primary,46.156,US 77;US 377,,,North Locust Street,,"LINESTRING (-97.1323241 33.2207407, -97.1323135 33.2211557)"
5360807735,82004515,0,917340857,True,4,motorway,82.195,I 35E,70 mph,,,,"LINESTRING (-97.1560397 33.2059591, -97.1568163 33.2063115)"
5387388213,81632399,0,558582962,True,1,motorway_link,100.323,,,,,,"LINESTRING (-97.159764 33.2078961, -97.160705 33.2083367)"
5387388214,81632400,0,558582962,True,1,motorway_link,21.028,,,,,,"LINESTRING (-97.1609093 33.208446, -97.1610878 33.208562)"
5449050042,2973937210,0,737067186,False,,secondary,69.028,,,,North Bonnie Brae Street,,"LINESTRING (-97.1616615 33.2174898, -97.1615219 33.2168801)"
5449050042,8584914071,0,737067186,False,,secondary,43.334,,,,North Bonnie Brae Street,,"LINESTRING (-97.1616615 33.2174898, -97.1617345 33.2178747)"
5449050043,8584914064,0,737067186,False,,secondary,17.597,,,,North Bonnie Brae Street,,"LINESTRING (-97.1618246 33.2183499, -97.161795 33.2181936)"
5449050043,6852853486,0,737067186,False,,secondary,22.501,,,,North Bonnie Brae Street,,"LINESTRING (-97.1618246 33.2183499, -97.1618658 33.2185493)"
