u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9036760936,81797257,0,739625069,West Oak Street,secondary,True,24.431,2,,,"LINESTRING (-97.1394094 33.2156406, -97.139672 33.2156431)"
9036760951,7205594471,0,365519043,West Hickory Street,secondary,True,22.523,,,,"LINESTRING (-97.1389035 33.2145898, -97.1386614 33.2145878)"
9038436816,6148153943,0,976725758,South Locust Street,primary,True,6.038,2,US 77;US 377,,"LINESTRING (-97.1324718 33.2143619, -97.1324717 33.2144162)"
9038443917,9038436816,0,118146061,South Locust Street,primary,True,30.968,2,US 77;US 377,,"LINESTRING (-97.1324722 33.2140834, -97.1324718 33.2143619)"
9038443918,9038443919,0,60324007,West Oak Street,secondary,True,78.33,2,,20 mph,"LINESTRING (-97.1326351 33.2155334, -97.1334769 33.2155489)"
9038443919,6148153953,0,976725761,West Oak Street,secondary,True,7.584,2,,20 mph,"LINESTRING (-97.1334769 33.2155489, -97.1335584 33.2155504)"
9038443920,9038443921,0,293940748,North Elm Street,primary,True,79.984,2,US 77;US 377,,"LINESTRING (-97.1336661 33.2154123, -97.1336868 33.2146932)"
9038443921,6148153949,0,976725763,North Elm Street,primary,True,7.163,2,US 77;US 377,,"LINESTRING (-97.1336868 33.2146932, -97.1336887 33.2146288)"
9042125168,9042125171,0,365519043,West Hickory Street,secondary,True,11.741,,,,"LINESTRING (-97.1399715 33.2146012, -97.1398453 33.2145998)"
9042125171,9042125180,0,365519043,West Hickory Street,secondary,True,45.328,,,,"LINESTRING (-97.1398453 33.2145998, -97.1393581 33.2145943)"
9042125180,81878592,0,365519043,West Hickory Street,secondary,True,18.607,,,,"LINESTRING (-97.1393581 33.2145943, -97.1391581 33.214592)"
9042139698,81797252,0,739625069,West Oak Street,secondary,True,22.356,2,,,"LINESTRING (-97.1425097 33.2156708, -97.14275 33.2156728)"
9042139701,81797253,0,739625069,West Oak Street,secondary,True,52.983,2,,,"LINESTRING (-97.1414104 33.2156599, -97.1419799 33.2156654)"
9042139704,9042139713,0,365519043,West Hickory Street,secondary,True,15.863,,,,"LINESTRING (-97.1408707 33.2146115, -97.1407002 33.2146095)"
9042139706,9042125168,0,365519043,West Hickory Street,secondary,True,29.27,,,,"LINESTRING (-97.1402861 33.2146048, -97.1399715 33.2146012)"
9042139713,9042139706,0,365519043,West Hickory Street,secondary,True,38.527,,,,"LINESTRING (-97.1407002 33.2146095, -97.1402861 33.2146048)"
9042139718,81904846,0,365519043,West Hickory Street,secondary,True,16.355,,,,"LINESTRING (-97.1416102 33.214619, -97.1414344 33.2146179)"
