osmid,y,x,street_count,highway,geometry
81804698,33.206167,-97.136507,2,,POINT (-97.136507 33.206167)
81804711,33.2145726,-97.1372635,4,traffic_signals,POINT (-97.1372635 33.2145726)
81804717,33.2130989,-97.137274,2,,POINT (-97.137274 33.2130989)
81804719,33.212559,-97.137283,4,,POINT (-97.137283 33.212559)
81804721,33.2120241,-97.1372916,2,,POINT (-97.1372916 33.2120241)
81804723,33.211591,-97.1372987,3,,POINT (-97.1372987 33.211591)
81804725,33.211429,-97.1373013,2,,POINT (-97.1373013 33.211429)
81804729,33.21022,-97.13731,2,,POINT (-97.13731 33.21022)
81804736,33.20951,-97.137289,2,,POINT (-97.137289 33.20951)
81804737,33.20938,-97.13728,2,,POINT (-97.13728 33.20938)
81804741,33.2089897,-97.1372033,2,,POINT (-97.1372033 33.2089897)
81804743,33.2088397,-97.1371733,2,,POINT (-97.1371733 33.2088397)
81804745,33.2086997,-97.1371253,2,,POINT (-97.1371253 33.2086997)
81804746,33.208571,-97.137078,2,,POINT (-97.137078 33.208571)
81804748,33.2084977,-97.1370643,2,,POINT (-97.1370643 33.2084977)
81804749,33.2078907,-97.1368613,2,,POINT (-97.1368613 33.2078907)
81804751,33.2077787,-97.1368343,2,,POINT (-97.1368343 33.2077787)
81804753,33.2071997,-97.1367313,2,,POINT (-97.1367313 33.2071997)
81804755,33.2070787,-97.1367233,2,,POINT (-97.1367233 33.2070787)
81804757,33.2065076,-97.1367146,4,traffic_signals,POINT (-97.1367146 33.2065076)
81804759,33.205982,-97.136617,2,,POINT (-97.136617 33.205982)
81809227,33.2139959,-97.1343172,3,,POINT (-97.1343172 33.2139959)
81811759,33.2135003,-97.1324795,4,,POINT (-97.1324795 33.2135003)
81818242,33.2064453,-97.1537069,3,traffic_signals,POINT (-97.1537069 33.2064453)
81818246,33.2065176,-97.1536365,4,traffic_signals,POINT (-97.1536365 33.2065176)
81818248,33.206642,-97.153502,2,,POINT (-97.153502 33.206642)
81818250,33.206697,-97.153399,2,,POINT (-97.153399 33.206697)
81818252,33.206732,-97.153315,2,,POINT (-97.153315 33.206732)
81818254,33.20676,-97.153215,2,,POINT (-97.153215 33.20676)
81818256,33.206786,-97.153093,2,,POINT (-97.153093 33.206786)
81818271,33.2067001,-97.1472967,3,,POINT (-97.1472967 33.2067001)
81818273,33.20668,-97.14602,4,traffic_signals,POINT (-97.14602 33.20668)
81818279,33.206619,-97.143751,2,,POINT (-97.143751 33.206619)
81818281,33.2066,-97.14316,3,,POINT (-97.14316 33.2066)
81818283,33.20658,-97.142489,2,,POINT (-97.142489 33.20658)
81818287,33.206547,-97.141027,2,,POINT (-97.141027 33.206547)
81818293,33.206539,-97.13961,2,,POINT (-97.13961 33.206539)
81818295,33.2065329,-97.1388552,2,,POINT (-97.1388552 33.2065329)
81818296,33.2065274,-97.1381848,2,,POINT (-97.1381848 33.2065274)
81818300,33.206518,-97.137295,2,,POINT (-97.137295 33.206518)
81818304,33.2065089,-97.136294,2,,POINT (-97.136294 33.2065089)
81818305,33.2065073,-97.135931,2,,POINT (-97.135931 33.2065073)
81818307,33.2065034,-97.1350499,4,,POINT (-97.1350499 33.2065034)
81818308,33.2065004,-97.1325482,4,,POINT (-97.1325482 33.2065004)
81831470,33.2064001,-97.1534296,2,,POINT (-97.1534296 33.2064001)
81831473,33.2061402,-97.1531322,2,,POINT (-97.1531322 33.2061402)
81831477,33.2060269,-97.1530451,2,,POINT (-97.1530451 33.2060269)
81831479,33.205937,-97.1530018,2,,POINT (-97.1530018 33.205937)
81835489,33.2158116,-97.1506012,2,,POINT (-97.1506012 33.2158116)
81841310,33.2145302,-97.1324744,4,traffic_signals,POINT (-97.1324744 33.2145302)
81861304,33.2136865,-97.1507236,4,,POINT (-97.1507236 33.2136865)
81861309,33.2126605,-97.1506427,4,,POINT (-97.1506427 33.2126605)
81864608,33.2137608,-97.1484467,2,,POINT (-97.1484467 33.2137608)
81864610,33.2136828,-97.1484896,2,,POINT (-97.1484896 33.2136828)
81870005,33.2093796,-97.1529505,3,,POINT (-97.1529505 33.2093796)
81870011,33.2093598,-97.1506861,4,,POINT (-97.1506861 33.2093598)
81870015,33.2093349,-97.1462767,3,,POINT (-97.1462767 33.2093349)
81870016,33.20932,-97.14526,3,,POINT (-97.14526 33.20932)
81870019,33.2093116,-97.1433698,2,,POINT (-97.1433698 33.2093116)
81870021,33.2092999,-97.14236,2,,POINT (-97.14236 33.2092999)
81870028,33.209269,-97.140591,2,,POINT (-97.140591 33.209269)
81870032,33.2091415,-97.1401413,2,,POINT (-97.1401413 33.2091415)
81870034,33.209139,-97.138996,2,,POINT (-97.138996 33.209139)
81870035,33.209145,-97.137169,2,,POINT (-97.137169 33.209145)
81870037,33.209151,-97.136621,2,,POINT (-97.136621 33.209151)
81870039,33.209159,-97.13611,2,,POINT (-97.13611 33.209159)
81870041,33.209159,-97.13564,4,,POINT (-97.13564 33.209159)
